SaleID,DateTime,DrugID,DrugName,DrugClass,Price,ExpDate,Quantity,TotalSales
12005235,01-04-2023 09:13,D0029,Nebivolol,Immunosuppressant,79,2024-02,5,395
12005235,01-04-2023 09:13,D0088,Bupropion,Respiratory,27,2023-06,3,81
12005236,01-04-2023 09:14,D0088,Fluoxetine,Antihistamine,56,2023-12,7,392
12005236,01-04-2023 09:14,D0019,Warfarin,Antibiotic,28,2023-07,10,280
12005236,01-04-2023 09:14,D0004,Duloxetine,Neurological,156,2023-09,6,936
12005237,01-04-2023 09:15,D0075,Risperidone,Antibiotic,129,2023-09,1,129
12005237,01-04-2023 09:15,D0079,Topiramate,Hormonal,29,2023-06,5,145
12005237,01-04-2023 09:15,D0065,Trazodone,Psychotropic,45,2023-08,7,315
12005237,01-04-2023 09:15,D0024,Irbesartan,Immunosuppressant,102,2023-07,4,408
12005237,01-04-2023 09:15,D0049,Donepezil,Antiviral,184,2023-07,10,1840
12005238,01-04-2023 09:16,D0010,Pravastatin,Dermatological,62,2024-01,5,310
12005238,01-04-2023 09:16,D0047,Ezetimibe,Psychotropic,140,2023-12,2,280
12005239,01-04-2023 09:17,D0088,Bupropion,Respiratory,27,2023-11,8,216
12005239,01-04-2023 09:17,D0019,Amiodarone,Psychotropic,127,2023-10,2,254
12005239,01-04-2023 09:17,D0061,Fexofenadine,Hormonal,54,2023-11,4,216
12005240,01-04-2023 09:18,D0060,Lamotrigine,Antihistamine,166,2023-11,7,1162
12005240,01-04-2023 09:18,D0051,Ciprofloxacin,Psychotropic,106,2023-05,3,318
12005240,01-04-2023 09:18,D0029,Alprazolam,Analgesic,141,2023-12,7,987
12005240,01-04-2023 09:18,D0076,Enalapril,Antiviral,112,2023-06,7,784
12005241,01-04-2023 09:19,D0052,Clonazepam,Oncology,181,2023-07,8,1448
12005242,01-04-2023 09:20,D0033,Mirtazapine,Antiviral,158,2023-08,10,1580
12005243,01-04-2023 09:21,D0028,Dorzolamide,Immunosuppressant,28,2024-02,2,56
12005243,01-04-2023 09:21,D0033,Mirtazapine,Antiviral,158,2023-05,8,1264
12005243,01-04-2023 09:21,D0063,Selegiline,Neurological,82,2023-12,5,410
12005244,01-04-2023 09:22,D0079,Topiramate,Hormonal,29,2023-06,7,203
12005244,01-04-2023 09:22,D0073,Quetiapine,Oncology,41,2023-05,10,410
12005244,01-04-2023 09:22,D0050,Lansoprazole,Analgesic,34,2023-10,5,170
12005245,01-04-2023 09:23,D0030,Allopurinol,Gastrointestinal,123,2024-02,10,1230
12005245,01-04-2023 09:23,D0030,Montelukast,Dermatological,93,2023-12,2,186
12005245,01-04-2023 09:23,D0028,Dorzolamide,Immunosuppressant,28,2023-08,8,224
12005246,01-04-2023 09:24,D0068,Tetracycline,Immunosuppressant,149,2023-11,7,1043
12005247,01-04-2023 09:25,D0059,Venlafaxine,Dermatological,58,2023-06,4,232
12005247,01-04-2023 09:25,D0063,Selegiline,Neurological,82,2024-02,2,164
12005247,01-04-2023 09:25,D0021,Clopidogrel,Antiviral,78,2024-02,1,78
12005247,01-04-2023 09:25,D0083,Gabapentin,Analgesic,170,2023-09,7,1190
12005247,01-04-2023 09:25,D0051,Olmesartan,Analgesic,170,2024-03,1,170
12005248,01-04-2023 09:26,D0030,Hydrochlorothiazide,Cardiovascular,164,2024-01,3,492
12005248,01-04-2023 09:26,D0081,Propranolol,Gastrointestinal,140,2024-02,7,980
12005248,01-04-2023 09:26,D0098,Tamsulosin,Oncology,122,2023-08,10,1220
12005249,01-04-2023 09:27,D0081,Propranolol,Gastrointestinal,140,2023-05,3,420
12005249,01-04-2023 09:27,D0026,Senna,Immunosuppressant,46,2024-03,8,368
12005249,01-04-2023 09:27,D0057,Nizatidine,Cardiovascular,50,2023-07,3,150
12005250,01-04-2023 09:28,D0083,Acetaminophen,Neurological,75,2023-07,7,525
12005250,01-04-2023 09:28,D0085,Pantoprazole,Immunosuppressant,50,2023-05,5,250
12005251,01-04-2023 09:29,D0085,Rivastigmine,Hormonal,72,2023-05,2,144
12005252,01-04-2023 09:30,D0085,Pantoprazole,Immunosuppressant,50,2023-11,9,450
12005252,01-04-2023 09:30,D0077,Digoxin,Antibiotic,186,2024-03,2,372
12005252,01-04-2023 09:30,D0052,Cephalexin,Antibiotic,64,2023-09,2,128
12005252,01-04-2023 09:30,D0083,Pioglitazone,Diabetes,129,2023-08,8,1032
12005252,01-04-2023 09:30,D0075,Risperidone,Antibiotic,129,2024-02,5,645
12005253,01-04-2023 09:31,D0042,Saxagliptin,Antibiotic,189,2023-11,10,1890
12005253,01-04-2023 09:31,D0049,Metoprolol,Diabetes,66,2024-03,8,528
12005253,01-04-2023 09:31,D0076,Enalapril,Antiviral,112,2024-01,7,784
12005254,01-04-2023 09:32,D0073,Quetiapine,Oncology,41,2024-03,6,246
12005254,01-04-2023 09:32,D0088,Furosemide,Hormonal,138,2024-03,3,414
12005254,01-04-2023 09:32,D0067,Clindamycin,Respiratory,189,2023-12,4,756
12005255,01-04-2023 09:33,D0032,Esomeprazole,Gastrointestinal,138,2023-06,8,1104
12005255,01-04-2023 09:33,D0033,Cetirizine,Respiratory,193,2023-05,6,1158
12005256,01-04-2023 09:34,D0033,Mirtazapine,Antiviral,158,2023-08,8,1264
12005257,01-04-2023 09:35,D0001,Amlodipine,Antiviral,160,2023-12,9,1440
12005257,01-04-2023 09:35,D0041,Lorazepam,Neurological,149,2023-10,1,149
12005257,01-04-2023 09:35,D0065,Trazodone,Psychotropic,45,2023-05,8,360
12005258,01-04-2023 09:36,D0080,Carvedilol,Antifungal,176,2023-10,8,1408
12005258,01-04-2023 09:36,D0004,Duloxetine,Neurological,156,2023-05,4,624
12005258,01-04-2023 09:36,D0058,Losartan,Psychotropic,126,2024-01,1,126
12005259,01-04-2023 09:37,D0099,Omeprazole,Psychotropic,116,2023-11,9,1044
12005259,01-04-2023 09:37,D0004,Levetiracetam,Immunosuppressant,184,2023-07,2,368
12005260,01-04-2023 09:38,D0068,Tetracycline,Immunosuppressant,149,2023-10,8,1192
12005260,01-04-2023 09:38,D0026,Senna,Immunosuppressant,46,2023-10,9,414
12005260,01-04-2023 09:38,D0095,Tiagabine,Respiratory,96,2023-05,3,288
12005261,01-04-2023 09:39,D0012,Ibuprofen,Gastrointestinal,84,2023-11,10,840
12005261,01-04-2023 09:39,D0064,Azithromycin,Psychotropic,191,2024-02,5,955
12005262,01-04-2023 09:40,D0064,Azithromycin,Psychotropic,191,2024-01,4,764
12005262,01-04-2023 09:40,D0019,Warfarin,Antibiotic,28,2023-10,3,84
12005262,01-04-2023 09:40,D0093,Docusate,Neurological,70,2023-06,5,350
12005262,01-04-2023 09:40,D0050,Lansoprazole,Analgesic,34,2023-08,7,238
12005262,01-04-2023 09:40,D0049,Donepezil,Antiviral,184,2024-01,9,1656
12005263,01-04-2023 09:41,D0056,Lactulose,Hormonal,184,2023-05,6,1104
12005263,01-04-2023 09:41,D0019,Amiodarone,Psychotropic,127,2023-05,7,889
12005263,01-04-2023 09:41,D0071,Insulin Glargine,Dermatological,46,2023-08,1,46
12005263,01-04-2023 09:41,D0041,Lorazepam,Neurological,149,2023-05,1,149
12005263,01-04-2023 09:41,D0083,Acetaminophen,Neurological,75,2024-03,6,450
12005264,01-04-2023 09:42,D0088,Fluoxetine,Antihistamine,56,2023-05,3,168
12005264,01-04-2023 09:42,D0100,Sitagliptin,Psychotropic,194,2023-06,7,1358
12005264,01-04-2023 09:42,D0047,Ezetimibe,Psychotropic,140,2024-01,6,840
12005264,01-04-2023 09:42,D0060,Lamotrigine,Antihistamine,166,2023-06,3,498
12005264,01-04-2023 09:42,D0058,Losartan,Psychotropic,126,2023-06,8,1008
12005265,01-04-2023 09:43,D0029,Meloxicam,Antifungal,128,2023-08,6,768
12005265,01-04-2023 09:43,D0034,Naproxen,Respiratory,50,2023-08,2,100
12005265,01-04-2023 09:43,D0079,Bisacodyl,Oncology,84,2024-01,10,840
12005265,01-04-2023 09:43,D0017,Polyethylene Glycol,Diabetes,111,2024-03,9,999
12005266,01-04-2023 09:44,D0095,Valsartan,Oncology,44,2023-05,7,308
12005266,01-04-2023 09:44,D0048,Citalopram,Immunosuppressant,187,2023-07,4,748
12005266,01-04-2023 09:44,D0030,Hydrochlorothiazide,Cardiovascular,164,2023-08,10,1640
12005266,01-04-2023 09:44,D0092,Timolol,Respiratory,169,2024-01,1,169
12005267,01-04-2023 09:45,D0029,Nebivolol,Immunosuppressant,79,2023-10,7,553
12005267,01-04-2023 09:45,D0029,Alprazolam,Analgesic,141,2023-10,3,423
12005267,01-04-2023 09:45,D0076,Enalapril,Antiviral,112,2023-07,4,448
12005267,01-04-2023 09:45,D0100,Sitagliptin,Psychotropic,194,2023-09,4,776
12005268,01-04-2023 09:46,D0013,Travoprost,Dermatological,198,2023-06,5,990
12005268,01-04-2023 09:46,D0088,Bupropion,Respiratory,27,2023-08,9,243
12005268,01-04-2023 09:46,D0029,Oxycodone,Cardiovascular,87,2024-03,6,522
12005268,01-04-2023 09:46,D0030,Montelukast,Dermatological,93,2023-10,5,465
12005268,01-04-2023 09:46,D0028,Dorzolamide,Immunosuppressant,28,2023-08,7,196
12005269,01-04-2023 09:47,D0058,Losartan,Psychotropic,126,2023-10,1,126
12005269,01-04-2023 09:47,D0085,Rivastigmine,Hormonal,72,2024-02,4,288
12005269,01-04-2023 09:47,D0062,Prednisone,Antihistamine,75,2023-12,4,300
12005269,01-04-2023 09:47,D0083,Pioglitazone,Diabetes,129,2024-03,7,903
12005270,01-04-2023 09:48,D0098,Tamsulosin,Oncology,122,2023-05,7,854
12005270,01-04-2023 09:48,D0048,Citalopram,Immunosuppressant,187,2024-02,3,561
12005270,01-04-2023 09:48,D0018,Simvastatin,Respiratory,124,2023-12,6,744
12005270,01-04-2023 09:48,D0036,Famotidine,Antihistamine,87,2023-05,3,261
12005270,01-04-2023 09:48,D0075,Risperidone,Antibiotic,129,2023-08,3,387
12005271,01-04-2023 09:49,D0065,Trazodone,Psychotropic,45,2024-03,4,180
12005271,01-04-2023 09:49,D0052,Cephalexin,Antibiotic,64,2024-01,4,256
12005272,01-04-2023 09:50,D0099,Omeprazole,Psychotropic,116,2023-10,2,232
12005273,01-04-2023 09:51,D0073,Quetiapine,Oncology,41,2023-07,1,41
12005273,01-04-2023 09:51,D0067,Clindamycin,Respiratory,189,2023-12,1,189
12005274,01-04-2023 09:52,D0092,Timolol,Respiratory,169,2023-11,3,507
12005274,01-04-2023 09:52,D0052,Clonazepam,Oncology,181,2023-10,8,1448
12005275,01-04-2023 09:53,D0079,Topiramate,Hormonal,29,2023-11,6,174
12005275,01-04-2023 09:53,D0058,Losartan,Psychotropic,126,2024-02,7,882
12005276,01-04-2023 09:54,D0077,Digoxin,Antibiotic,186,2023-12,3,558
12005276,01-04-2023 09:54,D0056,Zolpidem,Antifungal,122,2023-06,7,854
12005276,01-04-2023 09:54,D0051,Ciprofloxacin,Psychotropic,106,2023-10,10,1060
12005277,01-04-2023 09:55,D0068,Tetracycline,Immunosuppressant,149,2023-06,8,1192
12005278,01-04-2023 09:56,D0073,Quetiapine,Oncology,41,2024-02,4,164
12005278,01-04-2023 09:56,D0003,Glipizide,Dermatological,97,2023-12,2,194
12005278,01-04-2023 09:56,D0098,Tamsulosin,Oncology,122,2023-09,9,1098
12005278,01-04-2023 09:56,D0006,Escitalopram,Diabetes,110,2023-05,9,990
12005278,01-04-2023 09:56,D0095,Tiagabine,Respiratory,96,2023-09,10,960
12005279,01-04-2023 09:57,D0076,Enalapril,Antiviral,112,2023-07,5,560
12005279,01-04-2023 09:57,D0093,Galantamine,Immunosuppressant,165,2023-08,4,660
12005279,01-04-2023 09:57,D0003,Glipizide,Dermatological,97,2024-01,7,679
12005280,01-04-2023 09:58,D0076,Enalapril,Antiviral,112,2023-11,2,224
12005281,01-04-2023 09:59,D0029,Alprazolam,Analgesic,141,2023-11,7,987
12005281,01-04-2023 09:59,D0030,Montelukast,Dermatological,93,2023-08,6,558
12005281,01-04-2023 09:59,D0029,Oxycodone,Cardiovascular,87,2023-12,7,609
12005282,01-04-2023 10:00,D0071,Insulin Glargine,Dermatological,46,2023-05,7,322
12005282,01-04-2023 10:00,D0049,Donepezil,Antiviral,184,2023-06,8,1472
12005282,01-04-2023 10:00,D0056,Lactulose,Hormonal,184,2023-12,9,1656
12005282,01-04-2023 10:00,D0098,Tamsulosin,Oncology,122,2024-01,2,244
12005283,01-04-2023 10:01,D0070,Sildenafil,Hormonal,39,2023-11,10,390
12005283,01-04-2023 10:01,D0073,Quetiapine,Oncology,41,2023-11,5,205
12005283,01-04-2023 10:01,D0024,Lubiprostone,Gastrointestinal,27,2024-02,9,243
12005283,01-04-2023 10:01,D0001,Amlodipine,Antiviral,160,2024-01,3,480
12005284,01-04-2023 10:02,D0051,Ciprofloxacin,Psychotropic,106,2024-01,4,424
12005284,01-04-2023 10:02,D0059,Sertraline,Diabetes,200,2023-11,3,600
12005284,01-04-2023 10:02,D0065,Trazodone,Psychotropic,45,2023-12,6,270
12005284,01-04-2023 10:02,D0049,Metoprolol,Diabetes,66,2023-12,5,330
12005285,01-04-2023 10:03,D0070,Sildenafil,Hormonal,39,2024-01,9,351
12005285,01-04-2023 10:03,D0088,Furosemide,Hormonal,138,2023-09,4,552
12005286,01-04-2023 10:04,D0032,Esomeprazole,Gastrointestinal,138,2023-06,7,966
12005286,01-04-2023 10:04,D0026,Senna,Immunosuppressant,46,2023-05,3,138
12005287,01-04-2023 10:05,D0030,Hydrochlorothiazide,Cardiovascular,164,2023-09,9,1476
12005287,01-04-2023 10:05,D0099,Omeprazole,Psychotropic,116,2023-12,9,1044
12005287,01-04-2023 10:05,D0071,Fenofibrate,Hormonal,115,2024-01,4,460
12005287,01-04-2023 10:05,D0062,Prednisone,Antihistamine,75,2024-01,8,600
12005287,01-04-2023 10:05,D0006,Escitalopram,Diabetes,110,2023-07,7,770
12005288,01-04-2023 10:06,D0088,Furosemide,Hormonal,138,2023-06,10,1380
12005289,01-04-2023 10:07,D0068,Tetracycline,Immunosuppressant,149,2023-12,9,1341
12005289,01-04-2023 10:07,D0022,Amoxicillin,Cardiovascular,31,2023-08,4,124
12005289,01-04-2023 10:07,D0052,Clonazepam,Oncology,181,2023-07,4,724
12005289,01-04-2023 10:07,D0076,Enalapril,Antiviral,112,2023-11,5,560
12005290,01-04-2023 10:08,D0003,Glipizide,Dermatological,97,2023-11,7,679
12005290,01-04-2023 10:08,D0056,Zolpidem,Antifungal,122,2023-05,4,488
12005290,01-04-2023 10:08,D0083,Pioglitazone,Diabetes,129,2023-09,7,903
12005290,01-04-2023 10:08,D0030,Hydrochlorothiazide,Cardiovascular,164,2023-05,2,328
12005291,01-04-2023 10:09,D0093,Galantamine,Immunosuppressant,165,2023-06,4,660
12005291,01-04-2023 10:09,D0069,Linagliptin,Diabetes,78,2023-07,5,390
12005292,01-04-2023 10:10,D0010,Tramadol,Oncology,43,2024-03,9,387
12005292,01-04-2023 10:10,D0050,Lansoprazole,Analgesic,34,2023-08,1,34
12005292,01-04-2023 10:10,D0095,Valsartan,Oncology,44,2023-08,7,308
12005292,01-04-2023 10:10,D0093,Docusate,Neurological,70,2023-09,4,280
12005293,01-04-2023 10:11,D0062,Prednisone,Antihistamine,75,2023-05,10,750
12005293,01-04-2023 10:11,D0032,Esomeprazole,Gastrointestinal,138,2023-06,8,1104
12005294,01-04-2023 10:12,D0058,Losartan,Psychotropic,126,2024-03,9,1134
12005294,01-04-2023 10:12,D0083,Pioglitazone,Diabetes,129,2023-07,1,129
12005294,01-04-2023 10:12,D0100,Sitagliptin,Psychotropic,194,2024-01,3,582
12005295,01-04-2023 10:13,D0021,Atorvastatin,Immunosuppressant,70,2023-11,10,700
12005296,01-04-2023 10:14,D0022,Amoxicillin,Cardiovascular,31,2023-12,6,186
12005296,01-04-2023 10:14,D0030,Hydrochlorothiazide,Cardiovascular,164,2024-01,2,328
12005297,01-04-2023 10:15,D0068,Tetracycline,Immunosuppressant,149,2023-09,10,1490
12005298,01-04-2023 10:16,D0010,Tramadol,Oncology,43,2023-06,7,301
12005299,01-04-2023 10:17,D0049,Donepezil,Antiviral,184,2023-08,8,1472
12005299,01-04-2023 10:17,D0091,Metformin,Analgesic,56,2023-11,10,560
12005299,01-04-2023 10:17,D0093,Docusate,Neurological,70,2023-11,2,140
12005299,01-04-2023 10:17,D0100,Sitagliptin,Psychotropic,194,2023-05,4,776
12005300,01-04-2023 10:18,D0064,Azithromycin,Psychotropic,191,2023-05,10,1910
12005300,01-04-2023 10:18,D0066,Latanoprost,Psychotropic,177,2024-01,2,354
12005301,01-04-2023 10:19,D0049,Metoprolol,Diabetes,66,2024-02,5,330
12005301,01-04-2023 10:19,D0068,Aripiprazole,Hormonal,183,2024-01,2,366
12005301,01-04-2023 10:19,D0036,Famotidine,Antihistamine,87,2024-01,7,609
12005301,01-04-2023 10:19,D0033,Mirtazapine,Antiviral,158,2023-07,3,474
12005302,01-04-2023 10:20,D0071,Fenofibrate,Hormonal,115,2023-05,10,1150
12005302,01-04-2023 10:20,D0019,Warfarin,Antibiotic,28,2024-03,6,168
12005302,01-04-2023 10:20,D0034,Memantine,Cardiovascular,142,2023-08,4,568
12005302,01-04-2023 10:20,D0036,Famotidine,Antihistamine,87,2024-02,4,348
12005302,01-04-2023 10:20,D0093,Docusate,Neurological,70,2023-09,7,490
12005303,01-04-2023 10:21,D0001,Amlodipine,Antiviral,160,2023-11,1,160
12005303,01-04-2023 10:21,D0065,Trazodone,Psychotropic,45,2024-01,1,45
12005303,01-04-2023 10:21,D0093,Galantamine,Immunosuppressant,165,2023-05,7,1155
12005303,01-04-2023 10:21,D0024,Lubiprostone,Gastrointestinal,27,2024-02,1,27
12005303,01-04-2023 10:21,D0099,Omeprazole,Psychotropic,116,2023-06,8,928
12005304,01-04-2023 10:22,D0068,Aripiprazole,Hormonal,183,2023-06,9,1647
12005304,01-04-2023 10:22,D0069,Linagliptin,Diabetes,78,2023-05,6,468
12005305,01-04-2023 10:23,D0071,Fenofibrate,Hormonal,115,2023-07,10,1150
12005305,01-04-2023 10:23,D0029,Nebivolol,Immunosuppressant,79,2023-09,8,632
12005305,01-04-2023 10:23,D0015,Cyclobenzaprine,Immunosuppressant,138,2024-01,1,138
12005305,01-04-2023 10:23,D0088,Furosemide,Hormonal,138,2023-10,7,966
12005306,01-04-2023 10:24,D0034,Memantine,Cardiovascular,142,2023-12,5,710
12005307,01-04-2023 10:25,D0022,Amoxicillin,Cardiovascular,31,2023-07,4,124
12005307,01-04-2023 10:25,D0079,Topiramate,Hormonal,29,2023-06,7,203
12005307,01-04-2023 10:25,D0068,Tetracycline,Immunosuppressant,149,2023-12,6,894
12005307,01-04-2023 10:25,D0018,Simvastatin,Respiratory,124,2023-06,2,248
12005308,01-04-2023 10:26,D0064,Azithromycin,Psychotropic,191,2023-08,3,573
12005308,01-04-2023 10:26,D0019,Warfarin,Antibiotic,28,2024-02,9,252
12005308,01-04-2023 10:26,D0050,Lansoprazole,Analgesic,34,2023-09,9,306
12005308,01-04-2023 10:26,D0030,Hydrochlorothiazide,Cardiovascular,164,2023-10,4,656
12005308,01-04-2023 10:26,D0026,Senna,Immunosuppressant,46,2023-07,8,368
12005309,01-04-2023 10:27,D0026,Senna,Immunosuppressant,46,2023-11,8,368
12005309,01-04-2023 10:27,D0010,Tramadol,Oncology,43,2023-12,3,129
12005309,01-04-2023 10:27,D0021,Clopidogrel,Antiviral,78,2023-06,1,78
12005309,01-04-2023 10:27,D0073,Doxycycline,Cardiovascular,188,2023-07,7,1316
12005310,01-04-2023 10:28,D0052,Clonazepam,Oncology,181,2023-05,9,1629
12005310,01-04-2023 10:28,D0062,Prednisone,Antihistamine,75,2023-11,9,675
12005311,01-04-2023 10:29,D0088,Furosemide,Hormonal,138,2023-08,5,690
12005311,01-04-2023 10:29,D0058,Losartan,Psychotropic,126,2023-06,7,882
12005311,01-04-2023 10:29,D0099,Omeprazole,Psychotropic,116,2024-03,5,580
12005311,01-04-2023 10:29,D0059,Sertraline,Diabetes,200,2024-03,7,1400
12005312,01-04-2023 10:30,D0095,Valsartan,Oncology,44,2023-08,9,396
12005313,01-04-2023 10:31,D0028,Dorzolamide,Immunosuppressant,28,2023-11,7,196
12005313,01-04-2023 10:31,D0029,Meloxicam,Antifungal,128,2023-11,10,1280
12005313,01-04-2023 10:31,D0056,Lactulose,Hormonal,184,2023-11,4,736
12005313,01-04-2023 10:31,D0052,Clonazepam,Oncology,181,2024-01,1,181
12005313,01-04-2023 10:31,D0013,Travoprost,Dermatological,198,2023-12,3,594
12005314,01-04-2023 10:32,D0075,Risperidone,Antibiotic,129,2023-06,7,903
12005314,01-04-2023 10:32,D0012,Ibuprofen,Gastrointestinal,84,2023-06,4,336
12005314,01-04-2023 10:32,D0059,Sertraline,Diabetes,200,2023-06,5,1000
12005315,01-04-2023 10:33,D0023,Nitroglycerin,Oncology,144,2023-12,10,1440
12005315,01-04-2023 10:33,D0050,Lansoprazole,Analgesic,34,2024-01,4,136
12005315,01-04-2023 10:33,D0012,Ibuprofen,Gastrointestinal,84,2023-11,1,84
12005315,01-04-2023 10:33,D0068,Aripiprazole,Hormonal,183,2023-09,4,732
12005316,01-04-2023 10:34,D0003,Glipizide,Dermatological,97,2023-10,7,679
12005316,01-04-2023 10:34,D0029,Alprazolam,Analgesic,141,2023-06,1,141
12005316,01-04-2023 10:34,D0075,Risperidone,Antibiotic,129,2024-03,6,774
12005316,01-04-2023 10:34,D0010,Pravastatin,Dermatological,62,2023-08,10,620
12005317,01-04-2023 10:35,D0029,Meloxicam,Antifungal,128,2024-02,5,640
12005317,01-04-2023 10:35,D0030,Montelukast,Dermatological,93,2023-09,2,186
12005317,01-04-2023 10:35,D0023,Nitroglycerin,Oncology,144,2023-08,6,864
12005318,01-04-2023 10:36,D0071,Insulin Glargine,Dermatological,46,2023-09,2,92
12005318,01-04-2023 10:36,D0006,Escitalopram,Diabetes,110,2023-09,5,550
12005318,01-04-2023 10:36,D0036,Famotidine,Antihistamine,87,2023-12,2,174
12005318,01-04-2023 10:36,D0013,Travoprost,Dermatological,198,2024-01,3,594
12005319,01-04-2023 10:37,D0052,Clonazepam,Oncology,181,2023-06,7,1267
12005319,01-04-2023 10:37,D0003,Glipizide,Dermatological,97,2024-03,8,776
12005320,01-04-2023 10:38,D0004,Duloxetine,Neurological,156,2023-12,4,624
12005320,01-04-2023 10:38,D0019,Warfarin,Antibiotic,28,2023-09,9,252
12005321,01-04-2023 10:39,D0010,Tramadol,Oncology,43,2023-10,9,387
12005321,01-04-2023 10:39,D0093,Docusate,Neurological,70,2023-09,2,140
12005321,01-04-2023 10:39,D0068,Aripiprazole,Hormonal,183,2024-02,3,549
12005321,01-04-2023 10:39,D0004,Duloxetine,Neurological,156,2023-06,1,156
12005321,01-04-2023 10:39,D0077,Digoxin,Antibiotic,186,2024-01,2,372
12005322,01-04-2023 10:40,D0018,Bimatoprost,Oncology,66,2023-05,2,132
12005322,01-04-2023 10:40,D0024,Irbesartan,Immunosuppressant,102,2023-06,1,102
12005322,01-04-2023 10:40,D0088,Fluoxetine,Antihistamine,56,2023-06,2,112
12005323,01-04-2023 10:41,D0012,Ibuprofen,Gastrointestinal,84,2023-12,2,168
12005323,01-04-2023 10:41,D0029,Meloxicam,Antifungal,128,2023-09,1,128
12005323,01-04-2023 10:41,D0091,Metformin,Analgesic,56,2023-09,2,112
12005323,01-04-2023 10:41,D0085,Pantoprazole,Immunosuppressant,50,2023-12,8,400
12005324,01-04-2023 10:42,D0088,Fluoxetine,Antihistamine,56,2023-11,1,56
12005324,01-04-2023 10:42,D0085,Pantoprazole,Immunosuppressant,50,2024-02,4,200
12005324,01-04-2023 10:42,D0080,Carvedilol,Antifungal,176,2023-11,9,1584
12005325,01-04-2023 10:43,D0028,Dorzolamide,Immunosuppressant,28,2024-03,5,140
12005325,01-04-2023 10:43,D0073,Doxycycline,Cardiovascular,188,2023-10,1,188
12005325,01-04-2023 10:43,D0064,Azithromycin,Psychotropic,191,2023-09,2,382
12005325,01-04-2023 10:43,D0085,Rivastigmine,Hormonal,72,2024-02,1,72
12005326,01-04-2023 10:44,D0085,Rivastigmine,Hormonal,72,2023-11,4,288
12005326,01-04-2023 10:44,D0048,Citalopram,Immunosuppressant,187,2023-06,6,1122
12005326,01-04-2023 10:44,D0075,Diclofenac,Neurological,148,2023-10,6,888
12005327,01-04-2023 10:45,D0068,Tetracycline,Immunosuppressant,149,2023-09,9,1341
12005328,01-04-2023 10:46,D0065,Trazodone,Psychotropic,45,2024-02,8,360
12005328,01-04-2023 10:46,D0042,Saxagliptin,Antibiotic,189,2024-03,8,1512
12005328,01-04-2023 10:46,D0010,Tramadol,Oncology,43,2023-11,7,301
